sample_name	species	likely_resistant	fq_resistance_mutations	qrdr_mutations	genes_affected
N05_1_4	Enterococcus_faecium	False	0	435	gyrA,gyrB,parC,parE
N05_1_4	Escherichia_coli	False	0	650	gyrA,gyrB,parC,parE
N05_1_4	Klebsiella_oxytoca	False	0	413	gyrA,gyrB,parC,parE
N05_1_4	Klebsiella_pneumoniae	False	0	222	gyrA,gyrB,parE
N05_1_4	Pseudomonas_aeruginosa	True	27	493	gyrA,gyrB,parC,parE
N05_1_4	Staphylococcus_aureus	True	65	1856	gyrA,gyrB,parC,parE
N05_1_4	Streptococcus_mitis	False	0	114	gyrA,gyrB,parC,parE
N05_1_4	Streptococcus_oralis	False	0	175	gyrA,gyrB,parC,parE
N05_1_4	Streptococcus_pneumoniae	False	0	151	gyrA,gyrB,parC,parE
N05_2_2	Enterococcus_faecalis	False	0	155	gyrA,gyrB,parC,parE
N05_2_2	Enterococcus_faecium	False	0	25	gyrA,gyrB,parC,parE
N05_2_2	Escherichia_coli	False	0	127	gyrA,gyrB,parC,parE
N05_2_2	Klebsiella_oxytoca	False	0	12	gyrA,gyrB,parC,parE
N05_2_2	Klebsiella_pneumoniae	False	0	108	gyrA,gyrB,parE
N05_2_2	Pseudomonas_aeruginosa	True	2	430	gyrA,gyrB,parC,parE
N05_2_2	Staphylococcus_aureus	False	0	393	gyrA,gyrB,parC,parE
N05_2_2	Streptococcus_mitis	False	0	34	gyrA,gyrB,parC,parE
N05_2_2	Streptococcus_oralis	False	0	316	gyrA,gyrB,parC,parE
N05_2_2	Streptococcus_pneumoniae	False	0	228	gyrA,gyrB,parC,parE
N05_2_3	Enterococcus_faecalis	False	0	99	gyrA,gyrB,parC,parE
N05_2_3	Enterococcus_faecium	True	1	132	gyrA,gyrB,parC,parE
N05_2_3	Escherichia_coli	True	4	152	gyrA,gyrB,parC,parE
N05_2_3	Klebsiella_oxytoca	False	0	197	gyrA,gyrB,parC,parE
N05_2_3	Klebsiella_pneumoniae	True	1	83	gyrA,gyrB,parE
N05_2_3	Pseudomonas_aeruginosa	False	0	44	gyrA,gyrB,parC,parE
N05_2_3	Staphylococcus_aureus	True	5	199	gyrA,gyrB,parC,parE
N05_2_3	Streptococcus_mitis	False	0	32	gyrA,gyrB,parC,parE
N05_2_3	Streptococcus_oralis	False	0	68	gyrA,gyrB,parC,parE
N05_2_3	Streptococcus_pneumoniae	False	0	62	gyrA,gyrB,parC,parE
N05_2_4	Enterococcus_faecalis	False	0	430	gyrA,gyrB,parC,parE
N05_2_4	Enterococcus_faecium	True	1	415	gyrA,gyrB,parC,parE
N05_2_4	Escherichia_coli	True	4	496	gyrA,gyrB,parC,parE
N05_2_4	Klebsiella_oxytoca	False	0	461	gyrA,gyrB,parC,parE
N05_2_4	Klebsiella_pneumoniae	False	0	167	gyrA,gyrB,parE
