sample_name	total_genes	amr_genes	stress_genes	unique_amr_genes	unique_stress_genes	total_amr_reads	total_stress_reads	total_amr_rpm	total_stress_rpm	high_conf_amr	num_drug_classes	soxS_rpm	recA_rpm
ZJH_N15_1_4	109	108	1	108	1	150321	11	1693.6406481999998	0.0822289	36	16	0.0822289	0.0
ZJH_N16_1_2	102	102	0	102	0	10697	0	329.3658896700001	0.0	37	15	0.0	0.0
ZJH_N16_1_3	91	91	0	91	0	7769	0	387.38865689999994	0.0	26	16	0.0	0.0
ZJH_N16_2_2	155	155	0	155	0	25482	0	821.4026505	0.0	91	23	0.0	0.0
ZJH_N16_2_3	165	165	0	165	0	25598	0	454.00297031	0.0	86	22	0.0	0.0
ZJH_N16_2_4	129	129	0	129	0	613363	0	5258.43941829	0.0	82	21	0.0	0.0
ZJH_N17_1_2	104	104	0	104	0	62345	0	575.15194956	0.0	37	20	0.0	0.0
ZJH_N17_1_3	79	79	0	79	0	17634	0	208.67940428999992	0.0	4	12	0.0	0.0
ZJH_N17_1_4	78	78	0	78	0	156307	0	1674.8105489349998	0.0	20	14	0.0	0.0
ZJH_N17_2_2	146	146	0	146	0	15005	0	372.61443657	0.0	73	22	0.0	0.0
ZJH_N17_2_3	136	136	0	136	0	23754	0	290.56455851	0.0	61	21	0.0	0.0
ZJH_N17_2_4	115	115	0	115	0	690386	0	5181.3613179700005	0.0	69	15	0.0	0.0
ZJH_N18_1_2	129	129	0	129	0	21469	0	341.45394357	0.0	69	18	0.0	0.0
ZJH_N18_1_3	122	122	0	122	0	15557	0	259.97352786000005	0.0	51	18	0.0	0.0
ZJH_N18_1_4	147	147	0	147	0	510446	0	4406.4294017	0.0	104	18	0.0	0.0
ZJH_N18_2_2	131	131	0	131	0	16937	0	436.9857504	0.0	80	19	0.0	0.0
ZJH_N18_2_3	136	136	0	136	0	350805	0	4666.4267287	0.0	79	21	0.0	0.0
ZJH_N18_2_4	173	172	1	172	1	341044	1	3224.88151018	0.00977239	110	21	0.0	0.0
ZJH_N19_1_2	90	88	2	88	2	87778	10	2189.5574090400005	0.2828937	25	16	0.0318147	0.251079
