sample_name	gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	evidence	confidence
ZJH_N22_1_4	feoB	feoB	STRESS	2	3.10479	2.0	3.23737	0.010362	Coverage	LOW
ZJH_N22_2_2	soxS	soxS	STRESS	1	3.04414	1.0	12.6553	0.0114112	Coverage	LOW
ZJH_N22_2_2	uvrA	uvrA	STRESS	1	2.07684	1.0	8.634	0.00778522	Coverage	LOW
ZJH_N26_1_2	recA	recA	STRESS	1	6.00601	1.0	159.184	0.0351464	Coverage	LOW
ZJH_N26_2_2	gltT	gltT	STRESS	1	4.12371	1.0	60.8511	0.019308	Coverage	LOW
ZJH_N28_2_4	soxS	soxS	STRESS	13	3.04414	13.0	14.9328	0.104619	Coverage	LOW
ZJH_N29_1_2	soxS	soxS	STRESS	2	3.04414	2.0	103.867	0.0304103	Coverage	LOW
ZJH_N30_1_4	clpX	clpX	STRESS	1	4.75059	1.0	6.23396	0.0122258	Coverage	LOW
ZJH_N31_1_4	soxS	soxS	STRESS	1	3.04414	1.0	0.440455	0.00824288	Coverage	LOW
ZJH_N33_1_2	recA	recA	STRESS	3	6.00601	3.0	161.125	0.0871576	Coverage	LOW
ZJH_N36_2_4	cpxA	cpxA	STRESS	1	4.37637	1.0	1.74936	0.00891228	Coverage	LOW
ZJH_N39_2_2	soxS	soxS	STRESS	2	3.04414	2.0	38.3631	0.0284303	Coverage	LOW
ZJH_N42_1_4	soxS	soxS	STRESS	2	3.04414	2.0	29.5382	0.0171054	Coverage	LOW
ZJH_N42_2_3	fepA	fepA	STRESS	1	2.66312	1.0	1.71207	0.00863202	Coverage	LOW
ZJH_N42_2_4	fepA	fepA	STRESS	1	3.06258	1.0	1.48383	0.00698757	Coverage	LOW
ZJH_N43_2_2	soxS	soxS	STRESS	1	3.04414	1.0	22.0003	0.0105724	Coverage	LOW
ZJH_N43_2_3	soxS	soxS	STRESS	1	3.04414	1.0	20.666	0.0222765	Coverage	LOW
ZJH_N43_2_4	soxS	soxS	STRESS	2	3.04414	2.0	0.580086	0.0107698	Coverage	LOW
ZJH_N45_1_4	soxS	soxS	STRESS	15	3.04414	15.0	122.874	0.114021	Coverage	LOW
ZJH_N45_2_2	soxS	soxS	STRESS	1	3.04414	1.0	10.6941	0.0202779	Coverage	LOW
ZJH_N45_2_3	recA	recA	STRESS	1	6.00601	1.0	23.559	0.0249291	Coverage	LOW
ZJH_N45_2_4	soxS	soxS	STRESS	1	3.04414	1.0	0.875205	0.00592967	Coverage	LOW
ZJH_N50_1_4	fepA	fepA	STRESS	1	3.06258	1.0	1.88927	0.00749584	Coverage	LOW
ZJH_N50_1_4	groES	groES	STRESS	1	20.8333	1.0	14.7796	0.0586394	Coverage	LOW
ZJH_N50_2_4	cpxA	cpxA	STRESS	1	4.37637	1.0	2.28425	0.00817641	Coverage	LOW
ZJH_N53_1_4	phoH	phoH	STRESS	3	6.79012	3.0	25.6708	0.0427265	Coverage	LOW
ZJH_N53_2_3	groES	groES	STRESS	1	20.8333	1.0	52.8786	0.104673	Coverage	LOW
ZJH_N54_2_4	sodA	sodA	STRESS	1	12.9032	1.0	26.0182	0.0294577	Coverage	LOW
ZJH_N54_2_4	soxS	soxS	STRESS	1	3.04414	1.0	6.13824	0.0069497	Coverage	LOW
ZJH_N59_1_4	arcA	arcA	STRESS	1	8.40336	1.0	3.36005	0.0261753	Coverage	LOW
