hdf5_output	total_alignments	total_translated_alignments	total_reads_processed	sample_name
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N09_2_2/ZJH_N09_2_2.h5	0	7452261	0	ZJH_N09_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N09_2_4/ZJH_N09_2_4.h5	11501	19689509	0	ZJH_N09_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N10_1_2/ZJH_N10_1_2.h5	0	1280000	0	ZJH_N10_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N10_1_4/ZJH_N10_1_4.h5	0	1310000	0	ZJH_N10_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N10_2_2/ZJH_N10_2_2.h5	0	6984281	0	ZJH_N10_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N10_2_3/ZJH_N10_2_3.h5	1287	12301136	0	ZJH_N10_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N10_2_4/ZJH_N10_2_4.h5	4922	26833250	0	ZJH_N10_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N11_1_2/ZJH_N11_1_2.h5	0	3630000	0	ZJH_N11_1_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N11_1_3/ZJH_N11_1_3.h5	0	870000	0	ZJH_N11_1_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N11_1_4/ZJH_N11_1_4.h5	31	3600000	0	ZJH_N11_1_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N11_2_2/ZJH_N11_2_2.h5	0	7463075	0	ZJH_N11_2_2
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N11_2_3/ZJH_N11_2_3.h5	0	2400000	0	ZJH_N11_2_3
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N11_2_4/ZJH_N11_2_4.h5	0	19568799	0	ZJH_N11_2_4
/fastpool/analysis/nicu_amr_stress/resistance/ZJH_N12_1_2/ZJH_N12_1_2.h5	0	8539908	0	ZJH_N12_1_2
