sample_name	resistance_type	rpm_sum	n_gene_families	SubjectID	Location	SampleType	SampleCollectionWeek
N11_2_3	acquired	2361.259169	52	N11	UCMC	Groin	Week.3
N11_2_3	unknown	819.832129	43	N11	UCMC	Groin	Week.3
N11_2_4	intrinsic	1017.78342	15	N11	UCMC	Stool	Week.3
N11_2_4	acquired	4575.855578	61	N11	UCMC	Stool	Week.3
N11_2_4	unknown	1536.32715	40	N11	UCMC	Stool	Week.3
N11_2_2	intrinsic	16.52485	2	N11	UCMC	Axilla	Week.3
N11_2_2	acquired	4551.181576	47	N11	UCMC	Axilla	Week.3
N11_2_2	unknown	15.486836	3	N11	UCMC	Axilla	Week.3
N12_1_2	intrinsic	0.0	0	N12	UCMC	Axilla	Week.1
N12_1_2	acquired	5857.862688	51	N12	UCMC	Axilla	Week.1
N12_1_2	unknown	1647.690603	6	N12	UCMC	Axilla	Week.1
N12_1_3	intrinsic	56.383219000000004	13	N12	UCMC	Groin	Week.1
N12_1_3	acquired	2983.8679	49	N12	UCMC	Groin	Week.1
N12_1_3	unknown	139.405053	33	N12	UCMC	Groin	Week.1
N12_1_4	intrinsic	69.38047	13	N12	UCMC	Stool	Week.1
N12_1_4	acquired	3648.7758949999998	44	N12	UCMC	Stool	Week.1
N12_1_4	unknown	140.072903	30	N12	UCMC	Stool	Week.1
N13_1_2	intrinsic	0.0	0	N13	UCMC	Axilla	Week.1
N13_1_2	acquired	152.116832	15	N13	UCMC	Axilla	Week.1
N13_1_2	unknown	19.79584	2	N13	UCMC	Axilla	Week.1
N13_1_3	intrinsic	0.0	0	N13	UCMC	Groin	Week.1
N13_1_3	acquired	28.214724999999998	2	N13	UCMC	Groin	Week.1
N13_1_3	unknown	4.652786	3	N13	UCMC	Groin	Week.1
N13_1_4	intrinsic	0.0	0	N13	UCMC	Stool	Week.1
N13_1_4	acquired	18.18941	6	N13	UCMC	Stool	Week.1
N13_1_4	unknown	126.91785999999999	19	N13	UCMC	Stool	Week.1
N13_2_3	intrinsic	39.383606	13	N13	UCMC	Groin	Week.3
N13_2_3	acquired	153.839407	29	N13	UCMC	Groin	Week.3
N13_2_3	unknown	23.606699000000003	10	N13	UCMC	Groin	Week.3
