sample_name	Aminocoumarins	Aminoglycosides	Bacitracin	Cationic antimicrobial peptides	Chromium resistance	Drug and biocide and metal resistance	Drug and biocide resistance	Drug and metal resistance	Elfamycins	Fluoroquinolones	Fosfomycin	Fusidic acid	Glycopeptides	Lipopeptides	MLS	Multi-biocide resistance	Multi-drug resistance	Multi-metal resistance	Mupirocin	Oxazolidinone	Phenicol	Phenolic compound resistance	Rifampin	Sulfonamides	Tetracyclines	Trimethoprim	betalactams
ZJH_N8_2_3	0.0	97.27328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0272	638.36288	0.0	37.8932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.899169999999998	0.0	3.3871
ZJH_N8_2_4	119.335	48.831343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0636	218.4974	154.1019	4.04185	471.597461	152.876704	0.0	505.1206	0.0	144.1348	37.4374	0.0	0.0	0.0	0.0	101.119282	22.550224	1970.33686
ZJH_N9_1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.70473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N9_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9226414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N9_2_2	41.1765	72.50127499999999	0.0	0.0	0.0	0.0	0.0	0.0	4.39981	68.34049999999999	83.59638	49.306599999999996	2.96509	143.4243	6987.9531799999995	0.0	167.8145	0.0	109.6606	10.0909	3.29985	0.0	0.0	0.0	3.92157	4.44764	665.7583
ZJH_N9_2_4	143.708	85.3833	0.0	0.0	25.5924	309.40141	1746.12847	12.06339	124.035	1920.80262	295.8725	6.144432999999999	0.0	235.912559	62.496645	0.0	5103.6036	0.0	0.0	0.0	5.11097	67.1754	0.0	38.1444	777.78775	9.94008	1853.9848
ZJH_N10_1_2	0.0	3.6463050000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N10_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N10_2_2	13.736	218.98178	0.0	0.0	0.0	0.0	4.11583	0.0	9.81848	97.24265	103.88724	18.19893	0.0	123.0781	11927.22681	0.0	194.7332	0.0	47.8527	3.96706	47.40642	0.0	0.0	86.58115	6.79359	2.33065	392.540972
ZJH_N10_2_3	100.840872	903.54	0.0	0.0	0.0	95.8858	1443.7334	42.7415	95.6829	1426.7237	406.26113999999995	0.0	0.0	187.56975	1.18807	0.0	4355.0503	0.0	0.0	0.0	1646.19814	50.1596	77.3115	515.5921999999999	629.0381	137.8736	1833.159657
ZJH_N10_2_4	124.851	409.63463	0.0	0.0	0.0	188.281	1516.8187	45.3071	105.426	1571.4768	413.41721	0.0	0.0	192.54838	0.0	0.0	4428.9765	0.0	0.0	0.0	680.3691	49.3944	32.25535	277.5377	364.7155	69.62337	1667.13665
ZJH_N11_1_2	2.09022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65101	1.04511	2.57454	0.0	9.45697	25.77084	0.0	11.06287	0.0	5.6588899999999995	0.5353	0.0	0.0	0.0	0.0	0.280395	0.305886	20.90216
