megares_class	effect	effect_label	coef	se	pvalue	fdr
Multi-drug resistance	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.24594414763654202	0.13555439889598384	0.06962269605712157	0.18893793424192348
Fosfomycin	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.2128412414610125	0.12078698005346918	0.07804890152673104	0.18893793424192348
Fluoroquinolones	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.2263683232782924	0.13021927220721083	0.08214692793127108	0.18893793424192348
Mupirocin	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.17257197545797237	0.10429422125732858	0.09799251357517445	0.20489343747536476
Chromium resistance	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	0.09737022327972032	0.06213523296370288	0.1170984668644017	0.22443872815676993
Drug and biocide resistance	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.2385479810990676	0.17225705494561291	0.16610224711948074	0.29387320644215825
betalactams	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.16290555558520328	0.14522081974408732	0.26195674042492545	0.43035750212666324
MLS	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.13852779737915477	0.1338302135076476	0.30062171230478696	0.4609532922006733
Aminoglycosides	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.12360286055742756	0.12636401317973336	0.328000528731238	0.4715007600511546
Phenicol	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	0.08607555741749878	0.103051046218573	0.4035651035010722	0.5459998459132154
Cationic antimicrobial peptides	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	0.03897579318051375	0.050491278203692445	0.4401551747054224	0.5624205010124842
Sulfonamides	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	0.08325872200400673	0.13145919489091476	0.5265098718552201	0.6373540554036875
Trimethoprim	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.056539431129706774	0.10618278165505118	0.5943986534429775	0.6763219420845634
Drug and metal resistance	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	0.04138513654477714	0.08350940508401687	0.620194606428393	0.6763219420845634
Phenolic compound resistance	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.03994543549253559	0.08720761953442525	0.6469166402547998	0.6763219420845634
Drug and biocide and metal resistance	PostNatalAbxCohort[T.Low.Infant.Abx]	Low infant abx (vs None)	-0.027721194536894218	0.11539277775881263	0.8101493544803571	0.8101493544803571
Drug and biocide and metal resistance	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.5689178002684223	0.05380033524775087	3.907816393553888e-26	8.987977705173942e-25
Drug and biocide resistance	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.7653762967055697	0.07642583707481539	1.3145605249142114e-23	1.5117446036513432e-22
Elfamycins	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.5282260009898392	0.053209316254181876	3.1664630399817615e-23	2.4276216639860173e-22
Multi-drug resistance	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.7391622348657784	0.07655790268660181	4.684168215618809e-22	2.693396723980815e-21
Drug and metal resistance	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.37760349113445946	0.039210578744142105	5.964625581764165e-22	2.7437277676115158e-21
Tetracyclines	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.7130784798637159	0.07514208610471816	2.3162247481969362e-21	8.878861534754923e-21
Phenolic compound resistance	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.39695499209669965	0.04213175692208929	4.436202977566555e-21	1.457609549771868e-20
Fluoroquinolones	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.6715573722683588	0.07201890553002609	1.1125889809046533e-20	3.198693320100878e-20
Aminoglycosides	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.5767959063851464	0.07185814051239466	9.99914630348302e-16	2.555337388667883e-15
Sulfonamides	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.5106400750325732	0.06517942395254789	4.7117909515326856e-15	1.0837119188525178e-14
Fosfomycin	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.467754525284781	0.06100139222513407	1.7479155344387224e-14	3.6547324810991466e-14
betalactams	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.6176283882117926	0.0813077902003771	3.050066291267645e-14	5.84596039159632e-14
Aminocoumarins	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.36879737633960313	0.05501642393316191	2.03617963480251e-11	3.6024716615736715e-11
Lipopeptides	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.41618759624302365	0.0643640233038043	1.0052956492791563e-10	1.651557138101471e-10
Chromium resistance	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.17165677742477167	0.02954528873810129	6.24898972325371e-09	9.581784242322355e-09
Cationic antimicrobial peptides	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.12474068679587591	0.02322387073614998	7.82025932211699e-08	1.1241622775543174e-07
Phenicol	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.2204788538286406	0.049959453402720226	1.0187460657093289e-05	1.3783035006655627e-05
MLS	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.3158502809598862	0.085794492981131	0.00023188853113152288	0.00029630201200139036
Oxazolidinone	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	-0.08426650825176953	0.035579341333681416	0.017864671371753064	0.02162565481843792
Trimethoprim	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.06929871687520199	0.0516382183305327	0.17959456481798242	0.2065337495406798
Mupirocin	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	-0.07668097746395543	0.06245508810658775	0.21953035073258875	0.24043800318331152
Fusidic acid	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	-0.03974486398908948	0.05575212965492679	0.47591684371763787	0.49754942752298503
Glycopeptides	Week[T.Week.3]	Postnatal Week 3 (vs Week 1)	0.015222545219351357	0.03954298067241025	0.7002655640319957	0.7002655640319957
