sample_name	ESBL	Carbapenemase	Methicillin (mecA)	Aminoglycoside	Fluoroquinolone	Macrolide (MLS)	Tetracycline	Sulfonamide	Trimethoprim	Colistin (mcr)	Vancomycin (VRE)
N67_2_3	116.94297	0.0	0.0	15.30095	42.7553	164.94433	322.01955	15.475819999999999	0.0	0.0	1.87983
N67_2_4	43.249409	0.0	25.33182	43.144220000000004	18.548560000000002	205.49376999999998	450.12262	7.6245140000000005	0.82818	0.0	4.4564
N67_1_4	0.0	0.0	1034.765	99.56898	0.0	749.64763	891.61617	47.3482	36.3532	0.0	0.0
N68_1_2	0.0	0.0	614.8974000000001	777.25043	0.0	3511.12276	791.6658199999999	3.96263	26.6473	0.0	0.0
N68_1_3	0.0	0.0	511.8002	547.999474	0.0	1936.73766	1137.11704	40.913740000000004	18.71094	0.0	0.0
N68_2_2	0.0	0.0	29.657420000000002	11.92019	0.0	179.5651	63.606116	0.0	1.28738	0.0	0.0
N68_2_3	0.0	0.0	0.0	0.0	0.0	35.332292	0.0	0.0	0.0	0.0	0.0
N68_2_4	0.0	0.0	435.4493	309.2296	0.0	1145.8856	1072.7863	16.3608	16.88517	0.0	0.0
N68_1_4	0.0	0.0	163.1596	66.17623	0.0	681.7393	1.94301	0.0	2.406	0.0	0.0
ZJH_N1_1_2	0.0	0.0	0.0	15.03684	0.0	0.0	14.18242	0.0	0.0	0.0	0.0
ZJH_N1_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N1_1_4	0.0	0.0	0.0	0.160819	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N1_2_2	0.0	0.0	0.0	194.68132	0.0	204.88088	62.859626	0.0	0.0	0.0	0.0
ZJH_N1_2_3	573.896206	0.0	0.0	944.70523	29.6181	593.6929680000001	571.42338	923.79	137.89199	23.38828	0.0
ZJH_N1_2_4	320.018438	0.0	0.0	411.524905	23.713929999999998	631.499761	488.66277	540.4869	109.65827999999999	386.585	0.0
ZJH_N2_1_2	0.0	0.0	15.207540000000002	69.73757	0.0	6.58994	25.15767	0.0	1.216606	0.0	0.0
ZJH_N2_1_3	0.0	0.0	0.0	43.620092	0.0	0.0	40.351449	0.0	0.0	0.0	0.0
ZJH_N2_1_4	0.0	0.0	204.30630000000002	114.84824	0.0	108.22377	3.1527	0.0	26.197409999999998	0.0	0.0
ZJH_N2_2_2	0.0	0.0	0.0	1346.246721	0.0	1117.621	120.9891	639.7053	0.0	0.0	0.0
ZJH_N2_2_3	0.0	0.0	0.0	0.0	0.0	360.382762	10.704671	0.0	0.0	0.0	0.0
ZJH_N2_2_4	0.0	0.0	1258.9974	927.3146	0.0	962.6711700000001	2274.4767	0.0	112.23505	0.0	0.0
