effect_label	gene_family	coef	pvalue	fdr
Maternal abx (vs None)	merA	0.12437724853639737	0.04772982972591518	0.3775111507977523
Maternal abx (vs None)	fos_A3_A4	0.03499069085455388	0.049634829189117366	0.3775111507977523
Maternal abx (vs None)	silC	0.13978742581999679	0.0550812799321646	0.3775111507977523
Maternal abx (vs None)	silS	0.1459815199358442	0.0553971593482081	0.3775111507977523
Maternal abx (vs None)	aacA-ENT1	-0.03496666234788223	0.056402665201778966	0.3775111507977523
Donor milk (vs Mother's)	erm(A)	0.14792883217553565	0.0005399174160501867	0.12796042760389426
Donor milk (vs Mother's)	ant(9)-Ia	0.14125302831318579	0.002304158253852319	0.27304275308149983
Donor milk (vs Mother's)	arsH	-0.0912155123046736	0.06458986195482917	0.9142309659738649
Donor milk (vs Mother's)	erm(33)	0.16803388915128334	0.07183762352762164	0.9142309659738649
Donor milk (vs Mother's)	fos_A_A2	0.09786218941597441	0.08248839575213433	0.9142309659738649
Donor milk (vs Mother's)	arsR_pYV	-0.056251910571543856	0.08393042531999821	0.9142309659738649
Donor milk (vs Mother's)	mdtM	-0.12236797909575625	0.09041351439545964	0.9142309659738649
Donor milk (vs Mother's)	blaACT	0.12344301425124135	0.09208078708998803	0.9142309659738649
Donor milk (vs Mother's)	gyrA	0.18093799340918815	0.095537293077718	0.9142309659738649
Donor milk (vs Mother's)	merD	-0.09603759323779917	0.10221543281569449	0.9142309659738649
Donor milk (vs Mother's)	ompF	-0.12070783558316836	0.11024233989365596	0.9142309659738649
Donor milk (vs Mother's)	rpoB	0.19194231662432912	0.11279767164353247	0.9142309659738649
Donor milk (vs Mother's)	sdeY	-0.16596002793710873	0.1224178337048744	0.9142309659738649
Donor milk (vs Mother's)	sul1	-0.12781628879538867	0.12509566541694497	0.9142309659738649
Donor milk (vs Mother's)	basR	-0.11105873775100876	0.1268140463350745	0.9142309659738649
Donor milk (vs Mother's)	merR_Ps	-0.10382950054059119	0.12728592745885325	0.9142309659738649
Donor milk (vs Mother's)	merE	-0.05868286276437308	0.12754458725093312	0.9142309659738649
Donor milk (vs Mother's)	qacE_gen	-0.09708388195274355	0.1335553121760732	0.9142309659738649
Donor milk (vs Mother's)	MerP_Gneg	-0.06183282113469872	0.13676080065061105	0.9142309659738649
Donor milk (vs Mother's)	qacE	-0.08477251431577637	0.1427423790446285	0.9142309659738649
Donor milk (vs Mother's)	merA	-0.13700822188831935	0.14909640614685823	0.9142309659738649
Donor milk (vs Mother's)	dfrC	0.12404085599407857	0.1499635601122291	0.9142309659738649
Donor milk (vs Mother's)	terD	-0.04796290554257844	0.17167755680905372	0.9142309659738649
Donor milk (vs Mother's)	blaEC	-0.10698806337042009	0.17286156745929437	0.9142309659738649
Donor milk (vs Mother's)	pmrB	-0.13726302864829393	0.19399136529579963	0.9142309659738649
Donor milk (vs Mother's)	iucD	-0.09841409088198053	0.1944915428851839	0.9142309659738649
Donor milk (vs Mother's)	merT	-0.08540243966594711	0.195595002689543	0.9142309659738649
Donor milk (vs Mother's)	clpK	-0.14566883762513386	0.19863945179692866	0.9142309659738649
Donor milk (vs Mother's)	ariR	-0.04479884145438033	0.2035941925512591	0.9142309659738649
Donor milk (vs Mother's)	fdeC	-0.13194383691378384	0.20390230329988235	0.9142309659738649
Gestational age (per week)	blaR1	-0.05766547572755559	0.0007925295577359325	0.08385354368071746
Gestational age (per week)	blaR1-2	-0.05767732463603331	0.0008341877170634203	0.08385354368071746
Gestational age (per week)	blaZ	-0.04087322087401561	0.0011991661344749659	0.08385354368071746
Gestational age (per week)	rplD	0.02800821297663936	0.001415249682374978	0.08385354368071746
Gestational age (per week)	mecI_of_mecA	-0.013088072189186228	0.0027290652970327367	0.09406337496268792
Gestational age (per week)	ileS	-0.051601615333912436	0.0030434946123661173	0.09406337496268792
Gestational age (per week)	aac(6')-Ie	-0.0370302454320038	0.003536344585079346	0.09406337496268792
Gestational age (per week)	aph(2'')-Ia	-0.0370302454320038	0.003536344585079346	0.09406337496268792
Gestational age (per week)	pgsA	-0.02601070251836937	0.003572026897317263	0.09406337496268792
Gestational age (per week)	pbp2	-0.04422074724305991	0.005358531018908062	0.12699718514812108
Gestational age (per week)	mupA	-0.04188644636945113	0.007716030170815286	0.13768322301779595
Gestational age (per week)	mecA2	-0.04316865497756385	0.00801337847606388	0.13768322301779595
Gestational age (per week)	pbp2b	0.017370952992362094	0.008699421892037457	0.13768322301779595
Gestational age (per week)	mecA	-0.04413160868129915	0.008881599701236838	0.13768322301779595
Gestational age (per week)	mecA-ceftar	-0.04415109787762192	0.008884018247311446	0.13768322301779595
Gestational age (per week)	blaI_of_Z	-0.02552098224497082	0.00929506990837441	0.13768322301779595
Gestational age (per week)	mef(A)	0.0203112625102643	0.011504568087695146	0.14903400474348347
Gestational age (per week)	msr(D)	0.021712567931405507	0.012079500405278089	0.14903400474348347
Gestational age (per week)	gdpP	-0.04360476967733771	0.013128228259125616	0.14903400474348347
Gestational age (per week)	fusA	-0.04408939059388447	0.014231064813320968	0.14903400474348347
Gestational age (per week)	cls	-0.03448742707014799	0.014319639657416578	0.14903400474348347
Gestational age (per week)	fusE	-0.02746123581561108	0.014873007297394285	0.14903400474348347
Gestational age (per week)	mecR1	-0.036432039190164314	0.014960787493960416	0.14903400474348347
Gestational age (per week)	dfrC	-0.029550238373766417	0.015629773562519916	0.14903400474348347
Gestational age (per week)	qacA	-0.05078155565562969	0.016463985837452053	0.14903400474348347
Gestational age (per week)	qacB	-0.050743508091181264	0.01652953026693436	0.14903400474348347
