sample_name	species	Location	BodySite	genes_with_resistance	total_resistance_score	total_mutations	n_genes_with_resistance
N12_1_2	Staphylococcus_aureus	ZCH	Axilla	parC,parE	1.9799	4	2
N12_1_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	0.0785	2	1
N12_1_3	Klebsiella_pneumoniae	ZCH	Groin	gyrA	0.0785	2	1
N12_1_3	Staphylococcus_aureus	UCMC	Groin	parC	1.0	1	1
N12_1_3	Staphylococcus_aureus	ZCH	Groin	parC	1.0	1	1
N13_1_3	Staphylococcus_aureus	UCMC	Groin	parE	1.0	1	1
N13_1_3	Staphylococcus_aureus	ZCH	Groin	parE	1.0	1	1
N13_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N13_1_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N13_1_4	Staphylococcus_aureus	UCMC	Stool	parC,parE	2.0	2	2
N13_1_4	Staphylococcus_aureus	ZCH	Stool	parC,parE	2.0	2	2
N13_2_2	Escherichia_coli	UCMC	Axilla	parE	0.025	1	1
N13_2_2	Escherichia_coli	ZCH	Axilla	parE	0.025	1	1
N13_2_2	Klebsiella_pneumoniae	UCMC	Axilla	gyrA	1.0	1	1
N13_2_2	Klebsiella_pneumoniae	ZCH	Axilla	gyrA	1.0	1	1
N13_2_4	Klebsiella_oxytoca	UCMC	Stool	gyrA	0.002	1	1
N13_2_4	Klebsiella_oxytoca	ZCH	Stool	gyrA	0.002	1	1
N13_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	1.0	1	1
N13_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	1.0	1	1
N14_1_2	Staphylococcus_aureus	UCMC	Axilla	parE	0.1333	1	1
N14_1_2	Staphylococcus_aureus	ZCH	Axilla	parE	0.1333	1	1
N14_2_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N14_2_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N14_2_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	1.0	1	1
N14_2_3	Klebsiella_pneumoniae	ZCH	Groin	gyrA	1.0	1	1
N14_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N14_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N14_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	1.0	1	1
N14_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	1.0	1	1
N15_1_2	Enterococcus_faecalis	UCMC	Axilla	gyrA	1.0	1	1
N15_1_2	Enterococcus_faecalis	ZCH	Axilla	gyrA	1.0	1	1
N15_1_2	Enterococcus_faecium	UCMC	Axilla	gyrA	1.0	1	1
N15_1_2	Enterococcus_faecium	ZCH	Axilla	gyrA	1.0	1	1
N15_1_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N15_1_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N15_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.9857	1	1
N15_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.9857	1	1
N15_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N15_1_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N15_1_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.2162	1	1
N15_1_4	Pseudomonas_aeruginosa	ZCH	Stool	gyrA	0.2162	1	1
N15_1_4	Staphylococcus_aureus	UCMC	Stool	parC	0.9231	1	1
N15_1_4	Staphylococcus_aureus	ZCH	Stool	parC	0.9231	1	1
N15_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N15_2_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N15_2_3	Escherichia_coli	UCMC	Groin	parE	0.01	2	1
N15_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N15_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.0156	1	1
N16_1_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N16_1_3	Enterococcus_faecalis	ZCH	Groin	gyrA	1.0	1	1
N16_1_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N16_1_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N16_1_3	Staphylococcus_aureus	UCMC	Groin	gyrA,parE	1.7143000000000002	2	2
N16_1_3	Staphylococcus_aureus	ZCH	Groin	gyrA,parE	1.7143000000000002	2	2
N16_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N16_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N16_1_4	Escherichia_coli	UCMC	Stool	parC	0.0149	1	1
N16_1_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.9459	1	1
N16_1_4	Staphylococcus_aureus	UCMC	Stool	parC,parE	2.0	2	2
N16_2_2	Staphylococcus_aureus	UCMC	Axilla	parE	1.0	1	1
N16_2_2	Staphylococcus_aureus	ZCH	Axilla	parE	1.0	1	1
N16_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
