Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
C(BSI_30D)[T.No.BSI],4.367019972277834,5.068903840092805,0.8615314296824144,0.3889454185648309,False,-5.5678489954008406,14.301888939956509,PC1
C(BSI_30D)[T.No.BSI ],-7.956957782407567,18.111996006867844,-0.43931976240445214,0.6604298565439042,False,-43.45581764400181,27.54190207918668,PC1
C(BSI_30D)[T.No.BSI  ],8.688378745018492,20.97343432363443,0.4142563688402609,0.678686363691917,False,-32.41879716142118,49.79555465145816,PC1
C(BSI_30D)[T.PICC],-0.9191665652265839,12.134750475643596,-0.07574663913127012,0.9396206698886193,False,-24.70284045886832,22.864507328415154,PC1
C(NEC_30D)[T.No.NEC],-4.8580689147263945,8.079990270423963,-0.6012468768073762,0.5476755664187889,False,-20.694558840191412,10.978421010738625,PC1
C(AnyMilk)[T.Mother],4.5717976517983,5.01148368677094,0.9122642988675588,0.36162960315442894,False,-5.250529883382751,14.394125186979352,PC1
C(AnyMilk)[T.No.Milk],3.402592526204867,6.972201288031076,0.4880227041129713,0.6255337594482189,False,-10.26267089129982,17.067855943709553,PC1
C(PICC)[T.PICC_LE],-4.445965781018246,4.614800490947996,-0.9634145159122433,0.33533954452090964,False,-13.490808539114077,4.598876977077587,PC1
C(PICC)[T.PICC_Neck],-20.38269755286724,11.023781484065802,-1.8489751073467098,0.06446140721442113,False,-41.988912235075716,1.2235171293412428,PC1
C(PICC)[T.PICC_UE],-2.421944805895152,3.8891545173331927,-0.6227432710891333,0.5334532425619982,False,-10.044547590179468,5.200657978389163,PC1
C(PICC)[T.axillary],-14.51375619105302,9.349976426923986,-1.5522773029950672,0.12059588631642836,False,-32.839373244122534,3.811860862016495,PC1
C(PICC)[T.peripheral_UE],-8.686339471630005,8.394103486644491,-1.0348144367591463,0.3007555794736583,False,-25.1384799879553,7.7658010446952925,PC1
C(UVC)[T.UVC],-12.535032440981002,4.544012308588789,-2.75858241345168,0.005805266503233578,True,-21.441132911121734,-3.62893197084027,PC1
C(Delivery)[T.Vaginal],-11.660174597787849,4.202982639939989,-2.774261898439422,0.005532711763731975,True,-19.897869199717306,-3.4224799958583922,PC1
Group Var,0.048120328032734416,0.03799274767607503,1.2665661468606277,0.20531046358013094,False,-0.026344089086090483,0.12258474515155932,PC1
Intercept,20.14975565250397,10.789256581551754,1.8675759075891725,0.061821207180086754,False,-0.9967986672992097,41.29630997230715,PC2
C(SampleType)[T.Groin],-8.190867832702281,2.4151690269935377,-3.391426331306706,0.0006952985231826025,True,-12.924512142186261,-3.4572235232183015,PC2
C(SampleType)[T.Stool],-16.204237841037592,2.2463644990588505,-7.21353896387991,5.451611495281991e-13,True,-20.6070313553423,-11.801444326732884,PC2
C(Location)[T.ZCH],-17.09410463009142,3.7422156279885646,-4.56791011780352,4.9261117392496575e-06,True,-24.428712483331946,-9.759496776850892,PC2
C(GestationCohort)[T.28-32 Weeks],1.9572348444362164,4.961378849854576,0.39449413231033253,0.6932162584513842,False,-7.766889014937508,11.681358703809941,PC2
C(GestationCohort)[T.33-36 Weeks],11.46683216360613,6.200311129931367,1.8493962517866518,0.06440061627901952,False,-0.6855543440021972,23.619218671214455,PC2
C(SampleCollectionWeek)[T.Week.3],21.608808418713256,1.9340322508128092,11.17293075626417,5.532475452374222e-29,True,17.818174862181213,25.3994419752453,PC2
C(MaternalAntibiotics)[T.None.Mat.Abx],-3.2261690163246497,3.1726453576399694,-1.0168703566428536,0.3092151067975828,False,-9.444439653017188,2.9921016203678894,PC2
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-4.740709096837099,3.8947729326905343,-1.217197813265634,0.22352896199446992,False,-12.374323772871989,2.892905579197792,PC2
C(PostNatalAbxCohort)[T.No.Infant.Abx],-8.906208866913756,3.7020987431077375,-2.4057188867516306,0.016140679478409418,True,-16.162189070615923,-1.650228663211589,PC2
